"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C1","0603_C","25.146mm","30.226mm","25.146mm","30.234mm","25.146mm","29.464mm","T","90","22pF"
"C2","0603_C","25.273mm","26.67mm","25.273mm","26.67mm","25.273mm","27.44mm","T","270","22pF"
"C3","0603_C","13.335mm","9.906mm","13.335mm","9.909mm","13.335mm","10.679mm","T","270","0.1uF"
"C4","0603_C","15.621mm","9.906mm","15.621mm","9.909mm","15.621mm","10.679mm","T","270","1uF"
"C5","0603_C","21.844mm","9.906mm","21.844mm","9.909mm","21.844mm","9.139mm","T","90","1uF"
"C6","0603_C","24.13mm","9.906mm","24.13mm","9.909mm","24.13mm","9.139mm","T","90","0.1uF"
"C7","0603_C","30.124mm","5.08mm","30.139mm","5.08mm","30.909mm","5.08mm","T","180","0.1uF"
"C8","0603_C","21.717mm","35.941mm","21.717mm","35.941mm","20.947mm","35.941mm","T","0","0.1uF"
"C9","0603_C","64.008mm","31.775mm","64.008mm","31.766mm","63.238mm","31.766mm","T","360","0.1uF"
"C10","0603_C","21.717mm","33.909mm","21.717mm","33.909mm","20.947mm","33.909mm","T","0","0.1uF"
"C11","0603_C","52.07mm","33.147mm","52.07mm","33.147mm","52.07mm","33.917mm","T","270","0.1uF"
"C12","0603_C","24.384mm","22.555mm","24.384mm","22.558mm","24.384mm","21.788mm","T","90","0.1uF"
"C13","0603_C","52.07mm","29.21mm","52.07mm","29.21mm","52.07mm","28.44mm","T","90","22pF"
"C14","0603_C","45.339mm","21.844mm","45.339mm","21.844mm","46.109mm","21.844mm","T","180","0.1uF"
"C15","0603_C","52.07mm","25.146mm","52.07mm","25.146mm","52.07mm","25.916mm","T","270","22pF"
"C16","0603_C","46.863mm","36.551mm","46.863mm","36.547mm","47.633mm","36.547mm","T","180","0.1uF"
"C17","1206","15.367mm","61.722mm","15.367mm","61.722mm","13.589mm","61.722mm","T","360","0.1uF"
"C18","1206","15.367mm","58.293mm","15.367mm","58.293mm","17.145mm","58.293mm","T","180","0.1uF"
"C19","1206","15.367mm","54.864mm","15.367mm","54.864mm","17.145mm","54.864mm","T","180","0.1uF"
"C20","1206","22.758mm","54.102mm","22.758mm","54.102mm","20.98mm","54.102mm","T","360","0.1uF"
"D2","LED_0805_Blue","18.796mm","12.7mm","18.796mm","12.7mm","19.746mm","12.7mm","T","180","LED0"
"D1","LED_0805_Blue","67.691mm","31.75mm","67.691mm","31.75mm","66.741mm","31.75mm","T","0","LED0"
"D3","LED_0805_Blue","1.118mm","20.625mm","1.118mm","20.626mm","1.118mm","19.675mm","T","90","LED0"
"D4","LED_0805_Blue","3.353mm","45.822mm","3.353mm","45.822mm","3.353mm","44.872mm","T","90","LED0"
"IC2","DIP810W50P254L460H368Q4N","30.099mm","44.704mm","30.099mm","44.704mm","31.369mm","48.754mm","T","270","TPC817D"
"J1","USB","18.694mm","4.039mm","18.669mm","2.54mm","17.394mm","5.515mm","T","0","USB_M"
"J3","SHDR2W100P0X508_1X2_1016X1120X1820P","61.976mm","58.166mm","61.976mm","55.626mm","61.976mm","55.626mm","T","90","5442918"
"J2","SHDR2W100P0X508_1X2_1016X1120X1820P","5.842mm","58.928mm","5.842mm","56.388mm","5.842mm","56.388mm","T","90","5442918"
"J4","SHDR2W100P0X508_1X2_1016X1120X1820P","61.976mm","71.603mm","61.976mm","69.066mm","61.976mm","69.066mm","T","90","5442918"
"J5","HDRV2W90P0X254_1X2_508X241X858P","25.095mm","45.974mm","25.083mm","44.704mm","25.083mm","44.704mm","T","90","69190-402HLF"
"K1","G3MB202P4DC5","53.721mm","44.45mm","62.611mm","44.45mm","62.611mm","44.45mm","T","360","G3MB-202P-4_DC5"
"LS1","TMB12A05","6.731mm","29.566mm","6.731mm","33.381mm","6.731mm","33.381mm","T","180","TMB12A05"
"P1","HDR3X2","32.283mm","11.049mm","32.286mm","11.049mm","29.746mm","9.779mm","T","360","Header 3*2"
"P2","HDR4X1_A","5.08mm","1.397mm","5.08mm","1.397mm","1.27mm","1.397mm","T","360","Header 4"
"P3","HDR16X1_A","20.32mm","78.867mm","20.32mm","78.867mm","39.37mm","78.867mm","T","180","Header 16"
"Q1","SOT-23","67.666mm","29.083mm","67.843mm","29.083mm","66.668mm","30.033mm","T","270","SS8050"
"Q2","SOT-23","67.666mm","25.527mm","67.843mm","25.527mm","66.668mm","26.477mm","T","270","SS8550"
"Q4","SOT-23","15.392mm","46.152mm","15.392mm","45.974mm","16.342mm","47.149mm","T","180","SS8050"
"R1","0603_R","33.934mm","5.08mm","33.917mm","5.08mm","33.147mm","5.08mm","T","0","10K"
"R2","0603_R","34.417mm","15.113mm","34.417mm","15.113mm","35.187mm","15.113mm","T","180","10K"
"R3","0603_R","30.353mm","15.113mm","30.353mm","15.113mm","31.123mm","15.113mm","T","180","10K"
"R5","0603_R","22.962mm","12.7mm","22.979mm","12.7mm","23.749mm","12.7mm","T","180","1K"
"R4","0603_R","64.008mm","33.909mm","64.008mm","33.909mm","64.778mm","33.909mm","T","180","10K"
"R6","0603_R","2.896mm","3.861mm","2.896mm","3.861mm","3.666mm","3.861mm","T","180","10K"
"R7","0603_R","64.008mm","29.464mm","64.008mm","29.464mm","63.238mm","29.464mm","T","0","1K"
"R8","0603_R","7.188mm","3.861mm","7.188mm","3.861mm","7.958mm","3.861mm","T","180","10K"
"R9","0603_R","64.008mm","27.153mm","64.008mm","27.16mm","64.778mm","27.16mm","T","180","1K"
"R10","0603_R","64.008mm","24.892mm","64.008mm","24.892mm","63.238mm","24.892mm","T","0","10K"
"R11","1206","31.115mm","54.864mm","31.123mm","54.864mm","29.345mm","54.864mm","T","360","10K"
"R12","1206","31.115mm","61.722mm","31.123mm","61.722mm","29.345mm","61.722mm","T","360","10K"
"R13","1206","31.14mm","58.166mm","31.143mm","58.166mm","29.365mm","58.166mm","T","360","10K"
"R14","0603_R","3.226mm","20.777mm","3.226mm","20.777mm","3.226mm","21.547mm","T","270","1K"
"R15","0603_R","9.22mm","20.777mm","9.22mm","20.777mm","9.22mm","21.547mm","T","270","1K"
"R16","0603_R","11.557mm","20.777mm","11.557mm","20.777mm","11.557mm","20.007mm","T","90","4.7K"
"R21","1206","18.644mm","45.974mm","18.644mm","45.974mm","18.644mm","44.196mm","T","90","1k"
"R22","1206","21.565mm","45.974mm","21.565mm","45.974mm","21.565mm","47.752mm","T","270","10"
"R17","1206","44.831mm","11.303mm","44.831mm","11.303mm","43.053mm","11.303mm","T","360","10K"
"R18","1206","51.943mm","11.303mm","51.943mm","11.303mm","53.721mm","11.303mm","T","180","10K"
"R19","1206","58.801mm","11.303mm","58.801mm","11.303mm","57.023mm","11.303mm","T","360","10K"
"R20","1206","65.913mm","11.303mm","65.913mm","11.303mm","64.135mm","11.303mm","T","360","10K"
"R23","0603_R","4.953mm","69.342mm","4.953mm","69.342mm","4.953mm","70.112mm","T","270","270"
"R28","1206","5.842mm","45.974mm","5.842mm","45.974mm","5.842mm","47.752mm","T","270","470"
"R24","0603_R","7.239mm","69.342mm","7.239mm","69.342mm","7.239mm","70.112mm","T","270","270"
"R25","0603_R","9.525mm","69.342mm","9.525mm","69.342mm","9.525mm","70.112mm","T","270","270"
"R26","0603_R","11.811mm","69.342mm","11.811mm","69.342mm","11.811mm","70.112mm","T","270","270"
"R27","0603_R","14.097mm","69.342mm","14.097mm","69.342mm","14.097mm","70.112mm","T","270","270"
"R30","0603_R","16.383mm","69.342mm","16.383mm","69.342mm","16.383mm","70.112mm","T","270","270"
"R29","1206","12.319mm","45.974mm","12.319mm","45.974mm","12.319mm","47.752mm","T","270","4.7K"
"R31","0603_R","18.542mm","69.342mm","18.542mm","69.342mm","18.542mm","70.112mm","T","270","270"
"R32","0603_R","20.828mm","69.342mm","20.828mm","69.342mm","20.828mm","70.112mm","T","270","270"
"R34","0603_R","23.114mm","69.342mm","23.114mm","69.342mm","23.114mm","70.112mm","T","270","270"
"R35","0603_R","25.4mm","69.342mm","25.4mm","69.342mm","25.4mm","70.112mm","T","270","270"
"R36","0603_R","27.559mm","69.342mm","27.559mm","69.342mm","27.559mm","70.112mm","T","270","270"
"R33","1206","8.839mm","45.974mm","8.839mm","45.974mm","8.839mm","47.752mm","T","270","10K"
"R37","0603_R","4.953mm","74.168mm","4.953mm","74.168mm","4.953mm","73.398mm","T","90","10K"
"R38","0603_R","7.239mm","74.168mm","7.239mm","74.168mm","7.239mm","73.398mm","T","90","10K"
"R39","0603_R","9.525mm","74.168mm","9.525mm","74.168mm","9.525mm","73.398mm","T","90","10K"
"R40","0603_R","11.811mm","74.168mm","11.811mm","74.168mm","11.811mm","73.398mm","T","90","10K"
"R41","0603_R","14.097mm","74.168mm","14.097mm","74.168mm","14.097mm","73.398mm","T","90","10K"
"R42","0603_R","16.256mm","74.168mm","16.25mm","74.168mm","16.25mm","73.398mm","T","90","10K"
"R43","0603_R","18.415mm","74.168mm","18.415mm","74.168mm","18.415mm","73.398mm","T","90","10K"
"R44","0603_R","20.828mm","74.168mm","20.828mm","74.168mm","20.828mm","73.398mm","T","90","10K"
"R45","0603_R","23.114mm","74.168mm","23.114mm","74.168mm","23.114mm","73.398mm","T","90","10K"
"R46","0603_R","25.4mm","74.168mm","25.4mm","74.168mm","25.4mm","73.398mm","T","90","10K"
"R47","0603_R","27.432mm","74.168mm","27.432mm","74.168mm","27.432mm","73.398mm","T","90","10K"
"S1","SW_PB2_A1","31.877mm","2.032mm","31.877mm","2.032mm","35.777mm","2.032mm","T","180","SW-PB"
"S2","TS665CJ","45.11mm","4.623mm","42.871mm","7.874mm","","","T","0","TS665CJ"
"S3","TS665CJ","52.121mm","4.623mm","49.856mm","7.874mm","","","T","0","TS665CJ"
"S4","TS665CJ","59.03mm","4.623mm","56.769mm","7.874mm","","","T","0","TS665CJ"
"S5","TS665CJ","65.989mm","4.623mm","63.754mm","7.874mm","","","T","0","TS665CJ"
"U1","SOT23-5","18.796mm","9.779mm","18.796mm","9.779mm","17.399mm","10.729mm","T","360","ME6211"
"U2","SOP-16","57.658mm","28.956mm","57.658mm","28.956mm","54.864mm","33.401mm","T","0","CH340G"
"U4","C3131","49.276mm","64.694mm","49.276mm","75.692mm","49.276mm","75.692mm","T","270","C3131"
"VR1","VG039NCHXTB204","32.258mm","71.806mm","32.258mm","72.136mm","31.258mm","70.336mm","T","360","VG039NCHXTB204"
"Y1","5032","21.844mm","28.448mm","21.844mm","28.448mm","21.844mm","30.498mm","T","270","8M"
"Y2","5032","49.022mm","27.178mm","49.022mm","27.16mm","49.022mm","29.21mm","T","270","12M"
"IC1","SOIC127P600X175-8N","22.86mm","58.42mm","22.86mm","58.42mm","20.148mm","60.325mm","T","360","MAX6675ISA"
"U3","LQFP-48_M","32.893mm","28.575mm","32.893mm","28.575mm","28.793mm","31.325mm","T","0","STM32F103C8T6"
"Q3","SOT-23","6.121mm","20.955mm","6.121mm","20.777mm","7.071mm","21.952mm","T","180","SS8050"
